Communauté,Région,Département,Commune,Zone,Zone_ID,Statut_PRCC,Jeunes_15_35,RPP,PS,Score_PRCC,Score_Jeunesse,Score_Proximite,Score_Densite,Score_Total,Latitude,Longitude
BAGADADJI,Tambacounda,Goudiry,komoty,Zone 2 – Tambacounda & Kédougou,2,Terminé 2023,135,Non,Oui,25,8,15,7,55,14.0191877,-13.1653839
SAROUDIA,Tambacounda,Goudiry,komoty,Zone 2 – Tambacounda & Kédougou,2,Terminé 2023,130,Non,Oui,25,8,15,7,55,13.480793,-12.912862
DJIPOUNDE Thiéwé,Tambacounda,Goudiry,komoty,Zone 2 – Tambacounda & Kédougou,2,Terminé 2023,103,Non,Oui,25,8,15,7,55,13.6767631,-12.660522
KENIEKENIEKO,Tambacounda,Goudiry,komoty,Zone 2 – Tambacounda & Kédougou,2,Terminé 2023,103,Non,Oui,25,8,15,7,55,13.6767631,-12.660522
KENIOTO,Tambacounda,Goudiry,komoty,Zone 2 – Tambacounda & Kédougou,2,Terminé 2023,103,Non,Oui,25,8,15,7,55,13.6767631,-12.660522
MADINA THIANGOL,Tambacounda,Goudiry,komoty,Zone 2 – Tambacounda & Kédougou,2,Terminé 2023,103,Non,Oui,25,8,15,7,55,13.6767631,-12.660522
NEEMA,Tambacounda,Goudiry,komoty,Zone 2 – Tambacounda & Kédougou,2,Terminé 2023,103,Non,Oui,25,8,15,7,55,13.6767631,-12.660522
NIANTAFARA,Tambacounda,Goudiry,komoty,Zone 2 – Tambacounda & Kédougou,2,Terminé 2023,103,Non,Oui,25,8,15,7,55,13.6767631,-12.660522
SOUKOUTOLA,Tambacounda,Goudiry,komoty,Zone 2 – Tambacounda & Kédougou,2,Terminé 2023,103,Non,Oui,25,8,15,7,55,13.6767631,-12.660522
TALIKORY,Tambacounda,Goudiry,komoty,Zone 2 – Tambacounda & Kédougou,2,Terminé 2023,103,Non,Oui,25,8,15,7,55,13.6767631,-12.660522
Bagadadji,Tambacounda,Goudiry,komoty,Zone 2 – Tambacounda & Kédougou,2,Terminé 2018,135,Oui,Oui,15,8,15,15,53,14.0191877,-13.1653839
BANGOUL,Tambacounda,Goudiry,Bala,Zone 2 – Tambacounda & Kédougou,2,Terminé 2023,103,Oui,Oui,25,8,15,15,63,14.0191877,-13.1653839
DIDE LOUNTHIE,Tambacounda,Goudiry,Bala,Zone 2 – Tambacounda & Kédougou,2,Terminé 2023,103,Non,Oui,25,8,15,7,55,14.0191877,-13.1653839
Mayo Boubou Ayssé,Tambacounda,Goudiry,Goumbayel,Zone 2 – Tambacounda & Kédougou,2,Terminé 2023,103,Oui,Oui,25,8,15,15,63,14.0191877,-13.1653839
Gourel Tongoude,Tambacounda,Goudiry,Goumbayel,Zone 2 – Tambacounda & Kédougou,2,Terminé 2023,103,Non,Oui,25,8,15,7,55,14.0191877,-13.1653839
Bala Est,Tambacounda,Goudiry,bala,Zone 2 – Tambacounda & Kédougou,2,Terminé 2023,103,Oui,Oui,25,8,15,15,63,14.0191877,-13.1653839
Bala Pont,Tambacounda,Goudiry,bala,Zone 2 – Tambacounda & Kédougou,2,Terminé 2023,103,Oui,Oui,25,8,15,15,63,14.0191877,-13.1653839
Ndioum Samba Camara,Tambacounda,Goudiry,bala,Zone 2 – Tambacounda & Kédougou,2,Terminé 2023,103,Oui,Oui,25,8,15,15,63,13.9387641,-13.2231698
Sinthiou Maka,Tambacounda,Goudiry,bala,Zone 2 – Tambacounda & Kédougou,2,Terminé 2023,103,Oui,Oui,25,8,15,15,63,13.833333,-13.133333
Gourel Younousse,Tambacounda,Goudiry,bala,Zone 2 – Tambacounda & Kédougou,2,Terminé 2023,103,Non,Oui,25,8,15,7,55,14.0191877,-13.1653839
Sabou Ciré,Tambacounda,Goudiry,bala,Zone 2 – Tambacounda & Kédougou,2,Terminé 2023,103,Non,Oui,25,8,15,7,55,14.0191877,-13.1653839
Bala mboulou,Tambacounda,Goudiry,goumbayel,Zone 2 – Tambacounda & Kédougou,2,Terminé 2023,103,Oui,Oui,25,8,15,15,63,13.583333,-13.15
Gourel Foula,Tambacounda,Goudiry,goumbayel,Zone 2 – Tambacounda & Kédougou,2,Terminé 2023,103,Oui,Oui,25,8,15,15,63,14.0191877,-13.1653839
koundel,Tambacounda,Goudiry,goumbayel,Zone 2 – Tambacounda & Kédougou,2,Terminé 2023,103,Oui,Oui,25,8,15,15,63,14.0191877,-13.1653839
Samba Guita,Tambacounda,Goudiry,goumbayel,Zone 2 – Tambacounda & Kédougou,2,Terminé 2023,103,Oui,Oui,25,8,15,15,63,13.5503565,-13.2052335
Sinthiou Mamadou Koupa,Tambacounda,Goudiry,goumbayel,Zone 2 – Tambacounda & Kédougou,2,Terminé 2023,103,Oui,Oui,25,8,15,15,63,13.716667,-13.3
Goumbayel,Tambacounda,Goudiry,goumbayel,Zone 2 – Tambacounda & Kédougou,2,Terminé 2018,620,Non,Oui,15,20,15,7,57,13.683333,-13.166667
Bofouloung,Tambacounda,Goudiry,goumbayel,Zone 2 – Tambacounda & Kédougou,2,Terminé 2023,103,Non,Oui,25,8,15,7,55,14.0191877,-13.1653839
Boké Gagna,Tambacounda,Goudiry,goumbayel,Zone 2 – Tambacounda & Kédougou,2,Terminé 2023,103,Non,Oui,25,8,15,7,55,14.0191877,-13.1653839
Hamdallaye,Tambacounda,Goudiry,goumbayel,Zone 2 – Tambacounda & Kédougou,2,Terminé 2023,103,Non,Oui,25,8,15,7,55,14.0191877,-13.1653839
bala Foulbé,Tambacounda,Goudiry,goumbayel,Zone 2 – Tambacounda & Kédougou,2,Terminé 2018,103,Oui,Oui,15,8,15,15,53,13.633333,-13.1
Gourel maayo,Tambacounda,Goudiry,goumbayel,Zone 2 – Tambacounda & Kédougou,2,Terminé 2018,103,Oui,Oui,15,8,15,15,53,14.0191877,-13.1653839
Kanioubé,Tambacounda,Goudiry,goumbayel,Zone 2 – Tambacounda & Kédougou,2,Terminé 2018,103,Oui,Oui,15,8,15,15,53,13.583333,-13.266667
Madina Diouna,Tambacounda,Goudiry,goumbayel,Zone 2 – Tambacounda & Kédougou,2,Terminé 2018,103,Oui,Oui,15,8,15,15,53,14.0191877,-13.1653839
Sinbane Mamoudou,Tambacounda,Goudiry,goumbayel,Zone 2 – Tambacounda & Kédougou,2,Terminé 2018,103,Oui,Oui,15,8,15,15,53,14.0191877,-13.1653839
Gabou,Tambacounda,Bakel,Gabou,Zone 2 – Tambacounda & Kédougou,2,Terminé 2012,1504,Non,Non,3,25,15,0,43,14.727755,-12.525368
Saré Thierno,Tambacounda,Goudiry,koulor,Zone 2 – Tambacounda & Kédougou,2,Terminé 2018,103,Oui,Oui,15,8,15,15,53,14.1863831,-12.7192415
Back-Backe,Kédougou,Salemata,Oubadji,Zone 2 – Tambacounda & Kédougou,2,Terminé 2023,73,Non,Oui,25,3,7,7,42,12.6307709,-12.7889453
Egnidine,Kédougou,Salemata,Oubadji,Zone 2 – Tambacounda & Kédougou,2,Terminé 2023,73,Non,Oui,25,3,7,7,42,12.6307709,-12.7889453
Yamana,Kédougou,Salemata,Oubadji,Zone 2 – Tambacounda & Kédougou,2,Terminé 2023,73,Non,Oui,25,3,7,7,42,12.6307709,-12.7889453
Edalé,Kédougou,Salemata,oubadji,Zone 2 – Tambacounda & Kédougou,2,Terminé 2023,50,Non,Oui,25,3,7,7,42,12.666667,-13.05
Amoune,Kédougou,Salemata,oubadji,Zone 2 – Tambacounda & Kédougou,2,Terminé 2023,73,Non,Oui,25,3,7,7,42,12.632517,-13.0408556
Baguine,Kédougou,Salemata,oubadji,Zone 2 – Tambacounda & Kédougou,2,Terminé 2023,73,Non,Oui,25,3,7,7,42,12.6307709,-12.7889453
Boudjine,Kédougou,Salemata,oubadji,Zone 2 – Tambacounda & Kédougou,2,Terminé 2023,73,Non,Oui,25,3,7,7,42,12.6307709,-12.7889453
Eganga,Kédougou,Salemata,darsalam,Zone 2 – Tambacounda & Kédougou,2,Terminé 2023,91,Non,Oui,25,3,7,7,42,12.6307709,-12.7889453
Edine,Kédougou,Salemata,darsalam,Zone 2 – Tambacounda & Kédougou,2,Terminé 2023,31,Non,Oui,25,3,7,7,42,12.5528886,-12.8581891
Djirine,Kédougou,Salemata,darsalam,Zone 2 – Tambacounda & Kédougou,2,Terminé 2023,9,Non,Oui,25,3,7,7,42,12.5513,-12.7901
Epingué Bassari,Kédougou,Salemata,darsalam,Zone 2 – Tambacounda & Kédougou,2,Terminé 2023,73,Non,Oui,25,3,7,7,42,12.6307709,-12.7889453
Ingathitik,Kédougou,Salemata,darsalam,Zone 2 – Tambacounda & Kédougou,2,Terminé 2023,73,Non,Oui,25,3,7,7,42,12.6307709,-12.7889453
Nangar Bassari,Kédougou,Salemata,darsalam,Zone 2 – Tambacounda & Kédougou,2,Terminé 2023,73,Non,Oui,25,3,7,7,42,12.6307709,-12.7889453
Ebarack,Kédougou,Salemata,ethiolo,Zone 2 – Tambacounda & Kédougou,2,Terminé 2023,116,Non,Oui,25,8,7,7,47,12.6331,-12.8729
Egnissara,Kédougou,Salemata,ethiolo,Zone 2 – Tambacounda & Kédougou,2,Terminé 2023,75,Non,Oui,25,3,7,7,42,12.6102,-12.8664
Atoumar,Kédougou,Salemata,ethiolo,Zone 2 – Tambacounda & Kédougou,2,Terminé 2023,58,Non,Oui,25,3,7,7,42,12.589336,-12.856031
Edane,Kédougou,Salemata,ethiolo,Zone 2 – Tambacounda & Kédougou,2,Terminé 2023,52,Non,Oui,25,3,7,7,42,12.5479,-12.8291
Goumo,Kédougou,Salemata,ethiolo,Zone 2 – Tambacounda & Kédougou,2,Terminé 2023,73,Non,Oui,25,3,7,7,42,12.5913,-12.8053
Ranérou,Matam,Ranérou Ferlo,Vélingara,Zone 3 – Matam,3,Terminé 2014,921,Non,Non,8,25,15,0,48,15.0020653,-14.680647
BOULONE THIEWEKE,Matam,Ranérou Ferlo,Vélingara,Zone 3 – Matam,3,Terminé 2025,70,Non,Non,25,3,15,0,43,15.0020653,-14.680647
LAMMA,Matam,Ranérou Ferlo,Vélingara,Zone 3 – Matam,3,Terminé 2025,70,Non,Non,25,3,15,0,43,15.0020653,-14.680647
MEDINA THIANGOL,Matam,Ranérou Ferlo,Vélingara,Zone 3 – Matam,3,Terminé 2025,70,Non,Non,25,3,15,0,43,15.0020653,-14.680647
THIONOKH DIABY,Matam,Ranérou Ferlo,Vélingara,Zone 3 – Matam,3,Terminé 2022,136,Non,Non,15,8,15,0,38,15.0020653,-14.680647
BOULY BOGUEL,Matam,Ranérou Ferlo,Vélingara,Zone 3 – Matam,3,Terminé 2022,96,Non,Non,15,3,15,0,33,14.733333,-14.5
WENDOU ILO,Matam,Ranérou Ferlo,Vélingara,Zone 3 – Matam,3,Terminé 2022,63,Non,Non,15,3,15,0,33,15.0020653,-14.680647
Loumbol Daka,Matam,Ranérou Ferlo,Vélingara,Zone 3 – Matam,3,Terminé 2018,51,Non,Non,15,3,15,0,33,15.0020653,-14.680647
LOUMBI DIABY,Matam,Ranérou Ferlo,Vélingara,Zone 3 – Matam,3,Terminé 2022,49,Non,Non,15,3,15,0,33,15.0020653,-14.680647
BOUDOUROU,Matam,Ranérou Ferlo,Vélingara,Zone 3 – Matam,3,Terminé 2022,70,Non,Non,15,3,15,0,33,14.866667,-14.416667
DEMEREDIE,Matam,Ranérou Ferlo,Vélingara,Zone 3 – Matam,3,Terminé 2022,70,Non,Non,15,3,15,0,33,15.0020653,-14.680647
GNELMOL,Matam,Ranérou Ferlo,Vélingara,Zone 3 – Matam,3,Terminé 2022,70,Non,Non,15,3,15,0,33,15.0020653,-14.680647
LOUMBI SAMBA,Matam,Ranérou Ferlo,Vélingara,Zone 3 – Matam,3,Terminé 2022,70,Non,Non,15,3,15,0,33,15.0020653,-14.680647
MBELOGNE OUROUBE,Matam,Ranérou Ferlo,Vélingara,Zone 3 – Matam,3,Terminé 2022,70,Non,Non,15,3,15,0,33,15.0020653,-14.680647
Thiafaly,Matam,Ranérou Ferlo,velingara,Zone 3 – Matam,3,Terminé 2018,36,Non,Non,15,3,15,0,33,15.0020653,-14.680647
Dondou,Matam,Matam,Bokidiawé,Zone 3 – Matam,3,Terminé 2001,2761,Non,Non,3,25,15,0,43,16.021154,-13.384526
Sadel,Matam,Matam,Bokidiawé,Zone 3 – Matam,3,Terminé 2001,2110,Non,Non,3,25,15,0,43,15.9,-13.333333
Mboloyel,Matam,Matam,Bokidiawé,Zone 3 – Matam,3,Terminé 2001,899,Non,Non,3,25,15,0,43,15.874715,-13.47512
Gaol,Matam,Matam,Bokidiawé,Zone 3 – Matam,3,Terminé 2012,895,Non,Non,3,25,15,0,43,15.8874592,-13.4917218
Katoté,Matam,Matam,Bokidiawé,Zone 3 – Matam,3,Inconnu,478,Oui,Non,0,20,15,8,43,15.804266,-13.469798
Doumga Rindiaw,Matam,Matam,Bokidiawé,Zone 3 – Matam,3,Inconnu,774,Non,Non,0,25,15,0,40,15.846414,-13.462691
Diowol,Matam,Matam,Bokidiawé,Zone 3 – Matam,3,Terminé 2001,287,Oui,Non,3,14,15,8,40,15.837582,-13.501464
Ballel Pathe,Matam,Matam,Bokidiawé,Zone 3 – Matam,3,Terminé 2010,367,Oui,Non,3,14,15,8,40,15.8874592,-13.4917218
"Diamel(Gaoudal III) ""DIAMEL GAODAL""",Matam,Matam,Bokidiawé,Zone 3 – Matam,3,Terminé 2010,367,Oui,Non,3,14,15,8,40,15.8874592,-13.4917218
Somono,Matam,Matam,Bokidiawé,Zone 3 – Matam,3,Terminé 2010,367,Oui,Non,3,14,15,8,40,15.929581,-13.335116
Diolol,Matam,Matam,Bokidiawé,Zone 3 – Matam,3,Terminé 2001,367,Oui,Non,3,14,15,8,40,15.837582,-13.501464
Gawdal,Matam,Matam,Bokidiawé,Zone 3 – Matam,3,Terminé 2001,367,Oui,Non,3,14,15,8,40,16.048303,-13.431839
Kirire,Matam,Matam,Bokidiawé,Zone 3 – Matam,3,Terminé 2001,367,Oui,Non,3,14,15,8,40,15.866667,-13.533333
Guiraye,Matam,Matam,Bokidiawé,Zone 3 – Matam,3,Terminé 2010,580,Non,Non,3,20,15,0,38,15.8874592,-13.4917218
Kedele,Matam,Matam,Bokidiawé,Zone 3 – Matam,3,Terminé 2001,424,Non,Non,3,20,15,0,38,15.8874592,-13.4917218
DIAM BOURY,Matam,Matam,Oréfondé,Zone 3 – Matam,3,Terminé 2026,367,Oui,Non,25,14,15,8,62,16.0446994,-13.7267521
LOUBAL BALADJI,Matam,Matam,Oréfondé,Zone 3 – Matam,3,Terminé 2026,367,Non,Non,25,14,15,0,54,16.0446994,-13.7267521
St Diamdiore,Matam,Matam,Oréfondé,Zone 3 – Matam,3,Terminé 2001,367,Oui,Non,3,14,15,8,40,16.0446994,-13.7267521
Dialagnol,Matam,Matam,Oréfondé,Zone 3 – Matam,3,Terminé 2012,367,Oui,Non,3,14,15,8,40,16.0446994,-13.7267521
Dialloubé,Matam,Matam,Oréfondé,Zone 3 – Matam,3,Terminé 2012,367,Oui,Non,3,14,15,8,40,16.0446994,-13.7267521
Lobaly,Matam,Matam,Oréfondé,Zone 3 – Matam,3,Terminé 2012,367,Oui,Non,3,14,15,8,40,16.0446994,-13.7267521
Badiya,Matam,Matam,Oréfondé,Zone 3 – Matam,3,Terminé 2015,367,Non,Non,8,14,15,0,37,15.9487580184,-13.7520699423
Diouguél,Matam,Matam,Oréfondé,Zone 3 – Matam,3,Terminé 2015,367,Non,Non,8,14,15,0,37,16.0446994,-13.7267521
LOUMBI SANARABE,Matam,Matam,orefonde,Zone 3 – Matam,3,Terminé 2026,367,Oui,Non,25,14,15,8,62,15.73,-13.88
DENDOUDY,Matam,Matam,orefonde,Zone 3 – Matam,3,Terminé 2026,390,Non,Non,25,14,15,0,54,15.79,-13.9
FAFABE,Matam,Matam,orefonde,Zone 3 – Matam,3,Terminé 2026,367,Non,Non,25,14,15,0,54,15.72,-13.91
FELOU,Matam,Matam,orefonde,Zone 3 – Matam,3,Terminé 2026,367,Non,Non,25,14,15,0,54,16.01,-13.82
LOUNKA KABAL,Matam,Matam,orefonde,Zone 3 – Matam,3,Terminé 2026,367,Non,Non,25,14,15,0,54,15.83,-13.88
Ndiackiri (NDIAKIR),Matam,Matam,orefonde,Zone 3 – Matam,3,Terminé 2026,367,Non,Non,25,14,15,0,54,16.01,-13.7
OURO LAGOU,Matam,Matam,orefonde,Zone 3 – Matam,3,Terminé 2026,367,Non,Non,25,14,15,0,54,15.69,-13.91
THIANGUEL,Matam,Matam,orefonde,Zone 3 – Matam,3,Terminé 2026,367,Non,Non,25,14,15,0,54,16.01,-13.79
BINGUEL DIALOBE,Matam,Ranérou Ferlo,velingara_ferlo,Zone 3 – Matam,3,Terminé 2025,70,Non,Non,25,3,15,0,43,15.0,-14.68
BOKI MBONO,Matam,Ranérou Ferlo,velingara_ferlo,Zone 3 – Matam,3,Terminé 2025,70,Non,Non,25,3,15,0,43,14.69,-14.65
DAYANE MBORNDI,Matam,Ranérou Ferlo,velingara_ferlo,Zone 3 – Matam,3,Terminé 2025,70,Non,Non,25,3,15,0,43,14.75,-14.75
KOUKADJI,Matam,Ranérou Ferlo,velingara_ferlo,Zone 3 – Matam,3,Terminé 2025,70,Non,Non,25,3,15,0,43,14.58,-14.51
NDIOGOS NDIENGUEL,Matam,Ranérou Ferlo,velingara_ferlo,Zone 3 – Matam,3,Terminé 2025,70,Non,Non,25,3,15,0,43,14.86,-14.5
VELINGARA THIANOR,Matam,Ranérou Ferlo,velingara_ferlo,Zone 3 – Matam,3,Terminé 2025,70,Non,Non,25,3,15,0,43,15.0,-14.68
DIAMEL,Matam,Ranérou Ferlo,velingara_ferlo,Zone 3 – Matam,3,Terminé 2022,12,Oui,Non,15,3,15,8,41,15.03,-14.79
GAMBOL,Matam,Ranérou Ferlo,velingara_ferlo,Zone 3 – Matam,3,Terminé 2022,50,Non,Non,15,3,15,0,33,15.0020653,-14.680647
BELEL TOUFLE,Matam,Ranérou Ferlo,velingara_ferlo,Zone 3 – Matam,3,Terminé 2022,70,Non,Non,15,3,15,0,33,14.8857013,-14.5333028
BELEL TOUFLE SINTHIANE,Matam,Ranérou Ferlo,velingara_ferlo,Zone 3 – Matam,3,Terminé 2022,70,Non,Non,15,3,15,0,33,15.0020653,-14.680647
DADY DIAWE,Matam,Ranérou Ferlo,velingara_ferlo,Zone 3 – Matam,3,Terminé 2022,70,Non,Non,15,3,15,0,33,15.0020653,-14.680647
FIRIRE ABDOUL,Matam,Ranérou Ferlo,velingara_ferlo,Zone 3 – Matam,3,Terminé 2022,70,Non,Non,15,3,15,0,33,15.0020653,-14.680647
KOROBEL,Matam,Ranérou Ferlo,velingara_ferlo,Zone 3 – Matam,3,Terminé 2022,70,Non,Non,15,3,15,0,33,15.0020653,-14.680647
MAURE 1,Matam,Ranérou Ferlo,velingara_ferlo,Zone 3 – Matam,3,Terminé 2022,70,Non,Non,15,3,15,0,33,15.0020653,-14.680647
Beli Seno,Matam,Ranérou Ferlo,oudalaye,Zone 3 – Matam,3,Terminé 2021,70,Non,Non,15,3,15,0,33,15.0540614019755,-13.9695210364201
Fourdou,Matam,Ranérou Ferlo,oudalaye,Zone 3 – Matam,3,Terminé 2021,70,Non,Non,15,3,15,0,33,15.0540614019755,-13.9695210364201
Kawel,Matam,Ranérou Ferlo,oudalaye,Zone 3 – Matam,3,Terminé 2021,70,Non,Non,15,3,15,0,33,15.0540614019755,-13.9695210364201
Loumbol,Matam,Ranérou Ferlo,oudalaye,Zone 3 – Matam,3,Terminé 2021,70,Non,Non,15,3,15,0,33,15.0540614019755,-13.9695210364201
Pethiel,Matam,Ranérou Ferlo,oudalaye,Zone 3 – Matam,3,Terminé 2021,70,Non,Non,15,3,15,0,33,15.0540614019755,-13.9695210364201
Wendou Boki Diouwanabe,Matam,Ranérou Ferlo,oudalaye,Zone 3 – Matam,3,Terminé 2021,70,Non,Non,15,3,15,0,33,15.0540614019755,-13.9695210364201
Ogo,Matam,Matam,Nabadji Civol,Zone 3 – Matam,3,Terminé 2001,2432,Non,Non,3,25,11,0,39,15.5522989,-13.2967342
Ndouloumadji Dembe,Matam,Matam,Nabadji Civol,Zone 3 – Matam,3,Inconnu,2375,Non,Non,0,25,11,0,36,15.810299,-13.406088
Thialy Soubalo,Matam,Kanel,Wourou Sidy,Zone 3 – Matam,3,Terminé 2001,580,Oui,Non,3,20,11,8,42,15.516226,-13.105855
Bow,Matam,Kanel,Wourou Sidy,Zone 3 – Matam,3,Terminé 2001,825,Non,Non,3,25,11,0,39,15.4869978499,-13.0967738588
Bondji,Matam,Kanel,Wourou Sidy,Zone 3 – Matam,3,Terminé 2012,335,Oui,Non,3,14,11,8,36,14.997807,-12.634124
Nganno,Matam,Kanel,Wourou Sidy,Zone 3 – Matam,3,Terminé 2006,335,Oui,Non,3,14,11,8,36,15.472744,-13.047172
Dolol Soubalo,Matam,Kanel,Wourou Sidy,Zone 3 – Matam,3,Terminé 2010,279,Non,Non,3,14,11,0,28,15.5784974809,-13.0900604912
Diamel,Matam,Matam,Matam,Zone 3 – Matam,3,Terminé 2001,1377,Oui,Non,3,25,11,8,47,15.0020653,-14.680647
Nawel,Matam,Matam,Matam,Zone 3 – Matam,3,Inconnu,1112,Oui,Non,0,25,11,8,44,15.6600225,-13.2576906
Gande,Matam,Matam,Matam,Zone 3 – Matam,3,Inconnu,2405,Non,Non,0,25,11,0,36,15.056726,-12.591721
Adia,Matam,Ranérou Ferlo,Houdallaye,Zone 3 – Matam,3,Terminé 2014,241,Non,Non,8,14,11,0,33,15.0540614019755,-13.9695210364201
Diella,Matam,Kanel,Orkadiéré,Zone 3 – Matam,3,Terminé 2006,1578,Oui,Non,3,25,11,8,47,15.242957,-12.898881
Darou Salam,Matam,Kanel,Orkadiéré,Zone 3 – Matam,3,Terminé 2012,800,Oui,Non,3,25,11,8,47,15.2815,-12.9637
Barkatou,Matam,Kanel,Orkadiéré,Zone 3 – Matam,3,Terminé 2006,750,Oui,Non,3,25,11,8,47,15.321944,-12.87
Gassambery,Matam,Kanel,Orkadiéré,Zone 3 – Matam,3,Terminé 2006,335,Oui,Non,3,14,11,8,36,15.243858,-12.931851
Sinthiou Walel,Matam,Kanel,Orkadiéré,Zone 3 – Matam,3,Terminé 2006,358,Non,Non,3,14,11,0,28,15.2334006,-12.9807169
Guirdé Lathié,Matam,Ranérou Ferlo,Lougré Thioly,Zone 3 – Matam,3,Terminé 2018,153,Non,Non,15,8,11,0,34,15.5705814,-14.646298
Kossas Namary,Matam,Ranérou Ferlo,Lougré Thioly,Zone 3 – Matam,3,Terminé 2018,152,Non,Non,15,8,11,0,34,15.5705814,-14.646298
Tekinguel,Matam,Kanel,Hamady Hounaré,Zone 3 – Matam,3,Terminé 2006,1268,Oui,Non,3,25,11,8,47,15.4258408,-13.1766838
Walel,Matam,Kanel,Hamady Hounaré,Zone 3 – Matam,3,Terminé 2006,744,Non,Non,3,25,11,0,39,15.231493,-12.984252
Sylla worgo,Matam,Matam,Agnam Civol,Zone 3 – Matam,3,Terminé 2015,251,Oui,Non,8,14,11,8,41,16.0068567,-13.6878382
Ndafane Béli (ndiaffane beli thindy),Matam,Matam,Agnam Civol,Zone 3 – Matam,3,Terminé 2015,367,Oui,Non,8,14,11,8,41,16.0068567,-13.6878382
Toulél thiallé,Matam,Matam,Agnam Civol,Zone 3 – Matam,3,Terminé 2015,367,Oui,Non,8,14,11,8,41,15.983333,-13.633333
Agnam Godo,Matam,Matam,Agnam Civol,Zone 3 – Matam,3,Terminé 2001,794,Non,Non,3,25,11,0,39,16.007932,-13.69318
Thioukoungal,Matam,Ranérou Ferlo,loughere_thioly,Zone 3 – Matam,3,Terminé 2018,141,Non,Non,15,8,11,0,34,15.5705814,-14.646298
Dayoute,Matam,Ranérou Ferlo,loughere_thioly,Zone 3 – Matam,3,Terminé 2021,114,Non,Non,15,8,11,0,34,15.5705814,-14.646298
Yacine Lacke,Matam,Kanel,Bokiladji,Zone 3 – Matam,3,Terminé 2010,1497,Non,Non,3,25,7,0,35,15.04876,-12.683094
Bokiladji,Matam,Kanel,Bokiladji,Zone 3 – Matam,3,Terminé 2010,921,Non,Non,3,25,7,0,35,15.057343,-12.746721
Tekinguel,Matam,Kanel,Ndendory,Zone 3 – Matam,3,Terminé 2001,1268,Oui,Non,3,25,7,8,43,15.310268,-13.130608
Ndendory,Matam,Kanel,Ndendory,Zone 3 – Matam,3,Terminé 2001,2524,Non,Non,3,25,7,0,35,15.4258408,-13.1766838
Seno Palel,Matam,Kanel,Ndendory,Zone 3 – Matam,3,Terminé 2001,1816,Non,Non,3,25,7,0,35,15.4258408,-13.1766838
Wendou Nodi,Matam,Kanel,Ndendory,Zone 3 – Matam,3,Terminé 2001,1311,Non,Non,3,25,7,0,35,15.4258408,-13.1766838
Yerimale Torobe,Matam,Kanel,Aouré,Zone 3 – Matam,3,Terminé 2006,1020,Non,Non,3,25,7,0,35,15.144856,-12.946432
Hoha,Matam,Kanel,Kanel,Zone 3 – Matam,3,Terminé 2006,916,Non,Non,3,25,3,0,31,15.4884265,-13.1754767
